parameter,description,units,value
V_p,maximum specific decomposition rate for P by EP,mgC mgC^-1 h^-1,14
K_p,half-saturation constant for decomposition of P,mgC / g soil,50
V_m,maximum specific decomposition rate for M by EM,mgC mgC^-1 h^-1,0.25
K_m,half-saturation constant for decomposition of M,mg C/g soil,250
V_d,maximum specific uptake rate of D for growth of B,mgC mgC^-1 h^-1,3.00E+00
K_d,half-saturation constant of uptake of D for growth of B,mg C/g soil,0.25
f_d,fraction of decomposed P allocated to D,NA,0.5
g_d,fraction of dead B allocated to D,NA,0.5
p_ep,fraction of mR for production of EP,NA,0.01
p_em,fraction of mR for production of EM,NA,0.01
r_ep,turnover rate of EP,mgC mgC^-1 h^-1,0.001
r_em,turnover rate of EM,mgC mgC^-1 h^-1,0.001
Q_max,maximum DOC sorption capacity,mgC / g soil,3.4
K_ads,specific adsorption rate,mgC mgC^-1 h^-1,0.006
K_des,desorption rate,mgC mgC^-1 h^-1,0.001
dd_beta,strength of density dependent microbial decay,NA,2
Input_P,POM input ,mg C,0
Input_D,DOM input,mg C,0
Input_M,M input ,mg C,0
CUE,carbon use efficiency,,0.4
