Day,Variable,Andisol,Andisol,Andisol,Gelisol,Gelisol,Gelisol,Mollisol,Mollisol,Mollisol,Oxisol,Oxisol,Oxisol,Ultisol,Ultisol,Ultisol
1, Cumulative native soil C respiration,0.12,0.19,0.16,0.27,0.18,0.15,0.19,0.13,0.08,0.2,0.16,0.13,0.12,0.27,0.2
2, Cumulative native soil C respiration,0.39,0.44,0.27,0.36,0.34,0.36,0.42,0.38,0.76,0.33,0.51,0.32,0.23,0.4,0.31
4, Cumulative native soil C respiration,0.51,0.53,0.39,0.42,0.44,0.55,0.61,0.59,0.94,0.65,0.6,0.51,0.37,0.6,0.5
7, Cumulative native soil C respiration,0.7,0.74,0.71,0.52,0.53,0.73,0.76,0.68,1.15,0.76,0.79,0.76,0.49,0.71,0.61
10, Cumulative native soil C respiration,0.77,0.94,0.83,0.75,0.76,0.92,0.86,0.79,1.38,0.89,0.91,0.89,0.77,0.92,0.83
15, Cumulative native soil C respiration,0.97,1.11,0.94,0.91,1.14,1.05,1.08,0.99,1.62,1.12,1.11,1.11,0.96,1.01,1.02
31, Cumulative native soil C respiration,1.47,1.54,1.25,1.31,1.42,1.38,1.82,1.57,2.03,1.74,1.53,1.48,1.65,1.53,1.81
45, Cumulative native soil C respiration,1.81,1.85,1.53,1.55,1.54,1.48,2.24,1.95,2.47,2.18,1.82,1.77,2.13,1.8,2.12
60, Cumulative native soil C respiration,2.06,2.11,1.81,1.67,1.76,1.69,2.48,2.27,2.92,2.33,2.12,2.03,2.46,2.04,2.38
90, Cumulative native soil C respiration,2.26,2.42,2.06,1.75,1.92,1.85,2.81,2.53,3.29,2.5,2.33,2.3,2.76,2.23,2.69
120, Cumulative native soil C respiration,2.41,2.72,2.36,1.92,1.97,2.03,3.19,2.83,3.61,2.68,2.66,2.49,3.07,2.55,2.89
150, Cumulative native soil C respiration,2.65,2.96,2.58,1.98,1.98,2.15,3.44,3.15,3.84,2.92,2.89,2.71,3.13,2.64,2.96
210, Cumulative native soil C respiration,2.99,3.35,2.87,2.21,2.23,2.35,3.77,3.43,4.14,3.28,3.14,3.1,3.48,2.98,3.23
270, Cumulative native soil C respiration,3.33,3.7,3.2,2.37,2.36,2.54,4.08,3.8,4.51,3.64,3.45,3.32,3.76,3.3,3.57
365, Cumulative native soil C respiration,3.83,4.21,3.65,2.58,2.48,2.71,4.51,4.59,4.89,4.21,3.88,3.67,3.99,3.84,3.79
