"time","variable","value","units"
1,"POM",4.71,"mg C/g soil"
11,"POM",4.8504834846403,"mg C/g soil"
21,"POM",4.40411451529906,"mg C/g soil"
31,"POM",3.88605763472059,"mg C/g soil"
41,"POM",3.33571686485999,"mg C/g soil"
51,"POM",2.78256772852858,"mg C/g soil"
61,"POM",2.25481980424681,"mg C/g soil"
71,"POM",1.77596541575463,"mg C/g soil"
81,"POM",1.36166238646987,"mg C/g soil"
91,"POM",1.01865106722766,"mg C/g soil"
101,"POM",0.745742006462981,"mg C/g soil"
111,"POM",0.536104573237735,"mg C/g soil"
121,"POM",0.379874314330176,"mg C/g soil"
131,"POM",0.266393633809948,"mg C/g soil"
141,"POM",0.185694025035218,"mg C/g soil"
151,"POM",0.129291918778368,"mg C/g soil"
161,"POM",0.09041389450101,"mg C/g soil"
171,"POM",0.0639077260855096,"mg C/g soil"
181,"POM",0.0459910610757419,"mg C/g soil"
191,"POM",0.0339591351360305,"mg C/g soil"
201,"POM",0.0259243315480911,"mg C/g soil"
211,"POM",0.0205824002825507,"mg C/g soil"
221,"POM",0.0170444832041516,"mg C/g soil"
231,"POM",0.0147132770684814,"mg C/g soil"
241,"POM",0.0131820710939709,"mg C/g soil"
251,"POM",0.0121818522546206,"mg C/g soil"
261,"POM",0.011533083110205,"mg C/g soil"
271,"POM",0.0111154404693984,"mg C/g soil"
281,"POM",0.0108495588282642,"mg C/g soil"
291,"POM",0.0106833301373233,"mg C/g soil"
301,"POM",0.0105813599946437,"mg C/g soil"
311,"POM",0.010521276933844,"mg C/g soil"
321,"POM",0.0104881426195857,"mg C/g soil"
331,"POM",0.010472200824663,"mg C/g soil"
341,"POM",0.0104671284667248,"mg C/g soil"
351,"POM",0.0104687687323902,"mg C/g soil"
361,"POM",0.0104746701983698,"mg C/g soil"
371,"POM",0.0104830030821719,"mg C/g soil"
381,"POM",0.0104927152983688,"mg C/g soil"
391,"POM",0.0105029870475801,"mg C/g soil"
401,"POM",0.0105134817974555,"mg C/g soil"
411,"POM",0.0105239458734703,"mg C/g soil"
421,"POM",0.0105342479130043,"mg C/g soil"
431,"POM",0.0105442003438929,"mg C/g soil"
441,"POM",0.0105537064125753,"mg C/g soil"
451,"POM",0.010562741527741,"mg C/g soil"
461,"POM",0.0105712983262414,"mg C/g soil"
471,"POM",0.0105793694469653,"mg C/g soil"
481,"POM",0.0105869482883402,"mg C/g soil"
491,"POM",0.0105940315189711,"mg C/g soil"
501,"POM",0.0106006190892731,"mg C/g soil"
511,"POM",0.0106067129691962,"mg C/g soil"
521,"POM",0.0106123160838471,"mg C/g soil"
531,"POM",0.0106174318228524,"mg C/g soil"
541,"POM",0.0106220638239116,"mg C/g soil"
551,"POM",0.0106262160079951,"mg C/g soil"
561,"POM",0.0106298924522055,"mg C/g soil"
571,"POM",0.0106330972255007,"mg C/g soil"
581,"POM",0.0106358344062067,"mg C/g soil"
591,"POM",0.0106381081335748,"mg C/g soil"
601,"POM",0.01063992257728,"mg C/g soil"
611,"POM",0.010641281911057,"mg C/g soil"
621,"POM",0.0106421903065223,"mg C/g soil"
631,"POM",0.0106426519263286,"mg C/g soil"
641,"POM",0.0106426709249475,"mg C/g soil"
651,"POM",0.0106422514524012,"mg C/g soil"
661,"POM",0.0106413976543537,"mg C/g soil"
671,"POM",0.0106401136693434,"mg C/g soil"
681,"POM",0.0106384036269461,"mg C/g soil"
691,"POM",0.0106362716478244,"mg C/g soil"
701,"POM",0.0106337218442661,"mg C/g soil"
711,"POM",0.0106307583201758,"mg C/g soil"
721,"POM",0.0106273851706406,"mg C/g soil"
731,"POM",0.0106236064815378,"mg C/g soil"
741,"POM",0.0106194263293661,"mg C/g soil"
