 Simulation_Period = 20010101 -- 20501231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.252E+02           0.252E+02           0.243E+02           0.162E+01           0.590E+00           0.221E+02           0.597E-01           0.203E-02           0.899E+00           0.480E+00           0.420E+00           0.974E-02           0.475E-02           0.174E-02           0.325E-02           0.324-318           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.126-320           0.324-318           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.324-318           0.709-316           0.324-318           0.113-313           0.324-318           0.140E-75           0.000E+00           0.303-152           0.135E+46           0.500E+00           0.000E+00           0.456-128           0.298+229           0.169+167           0.145E-11          -0.125E+00           0.000E+00           0.223-307           0.000E+00           0.290E-08           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
    200101        0.252697E+02        0.252697E+02        0.243550E+02        0.162378E+01        0.606224E+00        0.220642E+02        0.607845E-01        0.209563E-02        0.902982E+00        0.483630E+00        0.419352E+00        0.971480E-02        0.473666E-02        0.174010E-02        0.323803E-02        0.149271E-16        0.112238E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200102        0.253161E+02        0.253161E+02        0.243944E+02        0.163288E+01        0.632555E+00        0.220670E+02        0.619426E-01        0.209832E-02        0.909866E+00        0.490983E+00        0.418883E+00        0.973440E-02        0.472151E-02        0.176821E-02        0.324469E-02        0.453061E-16        0.327857E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200103        0.253587E+02        0.253587E+02        0.244297E+02        0.164221E+01        0.652318E+00        0.220728E+02        0.623985E-01        0.210304E-02        0.917053E+00        0.498526E+00        0.418526E+00        0.982047E-02        0.473045E-02        0.181658E-02        0.327343E-02        0.547039E-16        0.547226E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200104        0.253987E+02        0.253987E+02        0.244619E+02        0.165176E+01        0.666281E+00        0.220813E+02        0.625409E-01        0.210660E-02        0.924814E+00        0.506540E+00        0.418274E+00        0.994476E-02        0.475982E-02        0.187005E-02        0.331489E-02        0.301855E-16        0.778007E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200105        0.254348E+02        0.254348E+02        0.244898E+02        0.166093E+01        0.674577E+00        0.220918E+02        0.624886E-01        0.210742E-02        0.932823E+00        0.514674E+00        0.418149E+00        0.100886E-01        0.480647E-02        0.191930E-02        0.336286E-02        0.140562E-16        0.101275E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200106        0.254673E+02        0.254673E+02        0.245140E+02        0.166949E+01        0.678511E+00        0.221037E+02        0.623036E-01        0.210544E-02        0.940947E+00        0.522787E+00        0.418160E+00        0.102422E-01        0.486656E-02        0.196160E-02        0.341407E-02        0.887109E-17        0.125113E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200107        0.254964E+02        0.254964E+02        0.245349E+02        0.167725E+01        0.679229E+00        0.221164E+02        0.620194E-01        0.210115E-02        0.949057E+00        0.530746E+00        0.418311E+00        0.103995E-01        0.493644E-02        0.199660E-02        0.346651E-02        0.869823E-16        0.149285E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200108        0.255230E+02        0.255230E+02        0.245531E+02        0.168422E+01        0.677719E+00        0.221295E+02        0.616590E-01        0.209513E-02        0.957177E+00        0.538568E+00        0.418609E+00        0.105589E-01        0.501376E-02        0.202553E-02        0.351964E-02       -0.310322E-16        0.174158E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200109        0.255464E+02        0.255464E+02        0.245686E+02        0.169010E+01        0.674811E+00        0.221425E+02        0.612590E-01        0.208821E-02        0.964967E+00        0.545926E+00        0.419041E+00        0.107123E-01        0.509294E-02        0.204862E-02        0.357078E-02        0.362835E-16        0.198899E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
