time,IC,P,M,Q,D,B,EP,EM,Tot
0,0,4.71,17.67,0,0.148,0.82,0.0082,0.0082,23.484
1,0.12,NA,NA,NA,NA,NA,NA,NA,NA
2,0.23,NA,NA,NA,NA,NA,NA,NA,NA
4,0.37,NA,NA,NA,NA,NA,NA,NA,NA
7,0.49,NA,NA,NA,NA,NA,NA,NA,NA
10,0.77,NA,NA,NA,NA,NA,NA,NA,NA
15,0.96,NA,NA,NA,NA,NA,NA,NA,NA
31,1.65,NA,NA,NA,NA,NA,NA,NA,NA
45,2.13,NA,NA,NA,NA,NA,NA,NA,NA
60,2.46,NA,NA,NA,NA,NA,NA,NA,NA
90,2.76,NA,NA,NA,NA,NA,NA,NA,NA
120,3.07,NA,NA,NA,NA,NA,NA,NA,NA
150,3.13,NA,NA,NA,NA,NA,NA,NA,NA
210,3.48,NA,NA,NA,NA,NA,NA,NA,NA
270,3.76,NA,NA,NA,NA,NA,NA,NA,NA
365,3.99,NA,NA,NA,NA,NA,NA,NA,NA
1,0.27,NA,NA,NA,NA,NA,NA,NA,NA
2,0.4,NA,NA,NA,NA,NA,NA,NA,NA
4,0.6,NA,NA,NA,NA,NA,NA,NA,NA
7,0.71,NA,NA,NA,NA,NA,NA,NA,NA
10,0.92,NA,NA,NA,NA,NA,NA,NA,NA
15,1.01,NA,NA,NA,NA,NA,NA,NA,NA
31,1.53,NA,NA,NA,NA,NA,NA,NA,NA
45,1.8,NA,NA,NA,NA,NA,NA,NA,NA
60,2.04,NA,NA,NA,NA,NA,NA,NA,NA
90,2.23,NA,NA,NA,NA,NA,NA,NA,NA
120,2.55,NA,NA,NA,NA,NA,NA,NA,NA
150,2.64,NA,NA,NA,NA,NA,NA,NA,NA
210,2.98,NA,NA,NA,NA,NA,NA,NA,NA
270,3.3,NA,NA,NA,NA,NA,NA,NA,NA
365,3.84,NA,NA,NA,NA,NA,NA,NA,NA
1,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.31,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5,NA,NA,NA,NA,NA,NA,NA,NA
7,0.61,NA,NA,NA,NA,NA,NA,NA,NA
10,0.83,NA,NA,NA,NA,NA,NA,NA,NA
15,1.02,NA,NA,NA,NA,NA,NA,NA,NA
31,1.81,NA,NA,NA,NA,NA,NA,NA,NA
45,2.12,NA,NA,NA,NA,NA,NA,NA,NA
60,2.38,NA,NA,NA,NA,NA,NA,NA,NA
90,2.69,NA,NA,NA,NA,NA,NA,NA,NA
120,2.89,NA,NA,NA,NA,NA,NA,NA,NA
150,2.96,NA,NA,NA,NA,NA,NA,NA,NA
210,3.23,NA,NA,NA,NA,NA,NA,NA,NA
270,3.57,NA,NA,NA,NA,NA,NA,NA,NA
365,3.79,NA,NA,NA,NA,NA,NA,NA,NA
