"time","variable","value"
1,"IC",0.12
2,"IC",0.23
4,"IC",0.37
7,"IC",0.49
10,"IC",0.77
15,"IC",0.96
31,"IC",1.65
45,"IC",2.13
60,"IC",2.46
90,"IC",2.76
120,"IC",3.07
150,"IC",3.13
210,"IC",3.48
270,"IC",3.76
365,"IC",3.99
1,"IC",0.27
2,"IC",0.4
4,"IC",0.6
7,"IC",0.71
10,"IC",0.92
15,"IC",1.01
31,"IC",1.53
45,"IC",1.8
60,"IC",2.04
90,"IC",2.23
120,"IC",2.55
150,"IC",2.64
210,"IC",2.98
270,"IC",3.3
365,"IC",3.84
1,"IC",0.2
2,"IC",0.31
4,"IC",0.5
7,"IC",0.61
10,"IC",0.83
15,"IC",1.02
31,"IC",1.81
45,"IC",2.12
60,"IC",2.38
90,"IC",2.69
120,"IC",2.89
150,"IC",2.96
210,"IC",3.23
270,"IC",3.57
365,"IC",3.79
