pH,mu,level
5.42,0.0400315,def4
5.39489,0.0411496,def4
5.38299,0.0416759,def4
5.37116,0.0421921,def4
5.35942,0.0426982,def4
5.34775,0.0431942,def4
5.33619,0.0436799,def4
5.32474,0.0441552,def4
5.3134,0.0446201,def4
5.3022,0.0450743,def4
5.29114,0.0455179,def4
5.28022,0.0459507,def4
5.26947,0.0463727,def4
5.25889,0.0467838,def4
5.24848,0.047184,def4
5.23826,0.0475733,def4
5.22823,0.0479518,def4
5.2184,0.0483195,def4
5.20878,0.0486765,def4
5.19936,0.0490229,def4
5.19015,0.0493589,def4
5.18116,0.0496846,def4
5.17238,0.0500002,def4
5.16382,0.0503058,def4
5.15547,0.0506017,def4
5.14735,0.0508881,def4
5.13943,0.0511652,def4
5.13173,0.0514332,def4
5.12425,0.0516924,def4
5.11697,0.051943,def4
5.1099,0.0521853,def4
5.10303,0.0524194,def4
5.09636,0.0526458,def4
5.08988,0.0528646,def4
5.0836,0.053076,def4
5.0775,0.0532804,def4
5.07158,0.0534779,def4
5.06584,0.0536688,def4
5.06027,0.0538535,def4
5.05487,0.054032,def4
5.04962,0.0542046,def4
5.04454,0.0543716,def4
5.0396,0.0545332,def4
5.03481,0.0546896,def4
5.03016,0.054841,def4
5.02565,0.0549876,def4
5.02127,0.0551296,def4
5.01701,0.0552672,def4
5.01287,0.0554006,def4
5.00885,0.0555299,def4
5.00495,0.0556555,def4
5.00115,0.0557773,def4
4.99745,0.0558956,def4
4.99386,0.0560105,def4
4.99035,0.0561221,def4
4.98694,0.0562307,def4
4.98362,0.0563364,def4
4.98038,0.0564392,def4
4.97722,0.0565393,def4
4.97414,0.0566369,def4
4.97113,0.056732,def4
4.9682,0.0568247,def4
4.96533,0.0569152,def4
4.96252,0.0570036,def4
4.95978,0.0570899,def4
4.95709,0.0571743,def4
4.95447,0.0572568,def4
4.95189,0.0573375,def4
4.94937,0.0574165,def4
4.9469,0.0574939,def4
4.94447,0.0575697,def4
4.94209,0.0576441,def4
4.93976,0.057717,def4
4.93746,0.0577886,def4
4.9352,0.0578589,def4
4.93299,0.057928,def4
4.9308,0.0579959,def4
4.92866,0.0580626,def4
4.92654,0.0581283,def4
4.92446,0.0581929,def4
4.92241,0.0582566,def4
4.92039,0.0583193,def4
4.91839,0.0583811,def4
4.91642,0.058442,def4
4.91448,0.0585021,def4
4.91256,0.0585614,def4
4.91067,0.05862,def4
4.9088,0.0586778,def4
4.90695,0.0587349,def4
4.90511,0.0587914,def4
4.9033,0.0588472,def4
4.90151,0.0589024,def4
4.89974,0.058957,def4
4.89798,0.0590111,def4
4.89624,0.0590646,def4
4.89452,0.0591176,def4
4.89281,0.0591701,def4
4.89112,0.0592221,def4
4.88944,0.0592737,def4
4.88777,0.0593248,def4
4.88612,0.0593755,def4
4.88448,0.0594258,def4
4.88285,0.0594757,def4
4.88124,0.0595252,def4
4.87963,0.0595744,def4
4.87804,0.0596232,def4
4.87645,0.0596717,def4
4.87488,0.0597198,def4
4.87331,0.0597677,def4
4.87176,0.0598152,def4
4.87021,0.0598625,def4
4.86867,0.0599094,def4
4.86714,0.0599562,def4
4.86562,0.0600026,def4
4.86411,0.0600488,def4
4.8626,0.0600948,def4
4.8611,0.0601405,def4
4.85961,0.060186,def4
4.85812,0.0602313,def4
4.85664,0.0602764,def4
4.85516,0.0603213,def4
4.8537,0.060366,def4
4.85223,0.0604105,def4
4.85078,0.0604548,def4
4.84932,0.060499,def4
4.84788,0.0605429,def4
4.84644,0.0605868,def4
4.845,0.0606304,def4
4.84357,0.0606739,def4
4.84214,0.0607173,def4
4.84072,0.0607605,def4
4.8393,0.0608036,def4
4.83788,0.0608465,def4
4.83647,0.0608893,def4
4.83506,0.060932,def4
4.83366,0.0609746,def4
4.83226,0.061017,def4
4.83086,0.0610594,def4
4.82947,0.0611016,def4
4.82808,0.0611437,def4
4.82669,0.0611857,def4
4.8253,0.0612276,def4
4.82392,0.0612694,def4
4.82254,0.0613111,def4
4.82117,0.0613528,def4
4.81979,0.0613943,def4
4.81842,0.0614358,def4
4.81705,0.0614771,def4
4.81569,0.0615184,def4
4.81433,0.0615596,def4
4.81296,0.0616007,def4
4.8116,0.0616418,def4
4.81025,0.0616828,def4
4.80889,0.0617237,def4
4.80754,0.0617645,def4
4.80619,0.0618053,def4
4.80484,0.061846,def4
4.80349,0.0618867,def4
4.80215,0.0619272,def4
4.8008,0.0619678,def4
4.79946,0.0620082,def4
4.79812,0.0620487,def4
