Obv,OL,No_OL,Clay
5.7,5.6,6.45,8.9
5.5,5.6,6.79,8.9
5.7,5.6,12.54,8.9
5.7,5.85,13.16,8.9
6,6.02,13.16,8.9
6,5.9,12.43,8.9
5.7,5.4,6.12,8.9
6,5.8,6.95,8.9
6,6.01,6.2,8.9
6,5.6,6.95,8.9
6.2,5.9,11.32,8.9
6.3,6.1,12,8.9
6.1,6.05,12.14,8.9
4.8,5.1,12.5,8.9
5.2,5.5,10.05,8.9
5,4.8,11.03,8.9
8.3,8.45,11.95,8.9
8.4,8.65,12.04,8.9
8.5,7.95,12.1,8.9
8.5,8.2,11.89,8.9
5.95,6,11.85,8.9
6.18,6.02,10.89,8.9
5.78,5.99,10.68,8.9
7.7,7.4,11.6,8.9
7.6,7.5,10.8,8.9
7.8,7.61,9.62,8.9
5.5,6,11.64,8.9
6.5,5.8,9.91,8.9
5.8,5.9,11,8.9
