soil,pH,value
A,3.11,0.06
A,3.5,0.25
A,4.04,0.59
A,4.53,0.84
A,5.08,1
A,5.43,0.93
A,5.99,0.77
A,5.97,0.71
A,6.15,0.82
A,6.26,0.61
A,6.55,0.42
A,7.23,0.15
A,6.82,0.63
A,7.08,0.53
A,7.37,0.46
A,7.96,0.28
B,3.23,0.02
B,3.75,0.02
B,4.25,0.11
B,4.86,0.16
B,5.51,0.49
B,5.75,0.58
B,6.09,0.8
B,6.33,0.83
B,6.65,0.78
B,6.74,1
B,6.88,0.82
B,7.14,0.85
B,7.07,0.74
B,7.44,0.73
B,7.6,0.8
C,3.61,0.02
C,4.18,0.01
C,4.72,0.02
C,5.36,0.13
C,5.88,0.44
C,6.16,0.57
C,6.25,0.69
C,6.53,0.79
C,6.75,0.75
C,7,0.86
C,7.14,0.73
C,7.49,0.78
C,7.37,0.95
C,7.68,1
C,8.09,0.97
C,8.15,0.82
